ecoregion,bin_mid,norm_density,fit,ecoregion_trim,site_id
Eastern Brazil,48,0.003,0.00457471175670936,Eastern Brazil,296
Eastern Brazil,48,0.00525,0.0110188665535696,Eastern Brazil,297
Eastern Brazil,48,6.25e-05,0.00154250718935696,Eastern Brazil,298
Eastern Brazil,48,0.0145625,0.0131164976835406,Eastern Brazil,299
Eastern Brazil,48,0.01015625,0.00725140911060153,Eastern Brazil,300
Eastern Brazil,48,0.004171875,0.0118864273111019,Eastern Brazil,301
Eastern Brazil,48,0.0041875,0.00411937839582146,Eastern Brazil,302
Eastern Brazil,48,0.0055,0.00612055387596874,Eastern Brazil,303
Cape Howe,48,0.003578125,0.0086674245220818,Cape Howe,304
Banda Sea,48,0.0085625,0.0206396620453422,Banda Sea,305
Banda Sea,48,0.0038125,0.0115221227205671,Banda Sea,306
Banda Sea,48,0.01696875,0.0154233152320403,Banda Sea,307
Banda Sea,48,0.0735625,0.0310586550342408,Banda Sea,308
Banda Sea,48,0.0090625,0.0122477506761572,Banda Sea,309
Banda Sea,48,0.00690625,0.0152631237129312,Banda Sea,310
Banda Sea,48,0.2221875,0.0555558371418652,Banda Sea,311
Banda Sea,48,0.0330625,0.0361771505042414,Banda Sea,312
Banda Sea,48,0.25778125,0.0655375736353686,Banda Sea,313
Western Caribbean,48,0.00327083333333333,0.002872168235158,Western Caribbean,314
Western Caribbean,48,0.00328125,0.00333825071960921,Western Caribbean,315
Western Caribbean,48,0.01925,0.0163136480515385,Western Caribbean,316
Western Caribbean,48,0.01359375,0.0158658267911857,Western Caribbean,317
Western Caribbean,48,0.003625,0.00398435018294499,Western Caribbean,318
Western Caribbean,48,0.0020625,0.00331651342990562,Western Caribbean,319
Gulf of Thailand,48,0.0279375,0.0232671141649541,Gulf of Thailand,320
Gulf of Thailand,48,0.0230625,0.0275966949119178,Gulf of Thailand,321
Gulf of Thailand,48,0.074,0.0660296893260745,Gulf of Thailand,322
Gulf of Thailand,48,0.036875,0.0371320228625676,Gulf of Thailand,323
Gulf of Thailand,48,0.009625,0.0139367978771108,Gulf of Thailand,324
Gulf of Thailand,48,0.0105625,0.0120347969361468,Gulf of Thailand,325
Gulf of Thailand,48,0.0089375,0.0133877705780976,Gulf of Thailand,326
Azores Canaries Madeira,48,0.00728125,0.010374298006036,Azores Canaries ...,327
Azores Canaries Madeira,48,0.0159375,0.0127795554719324,Azores Canaries ...,328
Azores Canaries Madeira,48,0.02946875,0.0453077696535524,Azores Canaries ...,329
